,position,coverage_p,coverage_m
385000,385000,44.0,4
385001,385001,44.0,4
385002,385002,41.0,4
385003,385003,41.0,3
385004,385004,41.0,3
385005,385005,41.0,3
385006,385006,42.0,3
385007,385007,41.0,3
385008,385008,42.0,3
385009,385009,45.0,3
385010,385010,45.0,3
385011,385011,45.0,3
385012,385012,45.0,3
385013,385013,45.0,3
385014,385014,45.0,3
385015,385015,44.0,3
385016,385016,44.0,3
385017,385017,43.0,3
385018,385018,43.0,3
385019,385019,42.0,3
385020,385020,42.0,3
385021,385021,42.0,3
385022,385022,42.0,3
385023,385023,41.0,3
385024,385024,41.0,3
385025,385025,40.0,3
385026,385026,40.0,3
385027,385027,41.0,3
385028,385028,41.0,3
385029,385029,41.0,3
385030,385030,42.0,3
385031,385031,42.0,3
385032,385032,42.0,3
385033,385033,43.0,3
385034,385034,44.0,3
385035,385035,44.0,3
385036,385036,42.0,3
385037,385037,42.0,3
385038,385038,42.0,3
385039,385039,42.0,3
385040,385040,42.0,3
385041,385041,44.0,3
385042,385042,44.0,3
385043,385043,45.0,3
385044,385044,45.0,3
385045,385045,45.0,3
385046,385046,47.0,3
385047,385047,47.0,3
385048,385048,47.0,3
385049,385049,47.0,3
385050,385050,47.0,3
385051,385051,47.0,3
385052,385052,47.0,3
385053,385053,47.0,3
385054,385054,49.0,3
385055,385055,49.0,3
385056,385056,49.0,3
385057,385057,50.0,3
385058,385058,51.0,3
385059,385059,51.0,3
385060,385060,51.0,3
385061,385061,51.0,3
385062,385062,51.0,3
385063,385063,52.0,3
385064,385064,53.0,3
385065,385065,53.0,3
385066,385066,53.0,3
385067,385067,53.0,3
385068,385068,53.0,3
385069,385069,54.0,4
385070,385070,56.0,4
385071,385071,56.0,4
385072,385072,56.0,4
385073,385073,56.0,4
385074,385074,57.0,4
385075,385075,57.0,4
385076,385076,57.0,4
385077,385077,58.0,4
385078,385078,59.0,4
385079,385079,61.0,4
385080,385080,61.0,4
385081,385081,61.0,4
385082,385082,61.0,4
385083,385083,61.0,4
385084,385084,62.0,4
385085,385085,62.0,4
385086,385086,62.0,4
385087,385087,62.0,4
385088,385088,61.0,3
385089,385089,61.0,3
385090,385090,61.0,3
385091,385091,61.0,3
385092,385092,61.0,3
385093,385093,60.0,3
385094,385094,62.0,3
385095,385095,60.0,3
385096,385096,61.0,3
385097,385097,61.0,3
385098,385098,62.0,3
385099,385099,62.0,3
385100,385100,62.0,3
385101,385101,62.0,3
385102,385102,62.0,3
385103,385103,62.0,3
385104,385104,62.0,3
385105,385105,62.0,3
385106,385106,61.0,3
385107,385107,61.0,3
385108,385108,61.0,3
385109,385109,61.0,3
385110,385110,60.0,3
385111,385111,59.0,3
385112,385112,58.0,3
385113,385113,53.0,3
385114,385114,51.0,3
385115,385115,51.0,3
385116,385116,53.0,3
385117,385117,53.0,3
385118,385118,54.0,3
385119,385119,54.0,3
385120,385120,55.0,3
385121,385121,55.0,3
385122,385122,55.0,3
385123,385123,55.0,3
385124,385124,55.0,3
385125,385125,55.0,3
385126,385126,55.0,3
385127,385127,55.0,3
385128,385128,55.0,3
385129,385129,55.0,3
385130,385130,55.0,3
385131,385131,55.0,3
385132,385132,55.0,3
385133,385133,55.0,3
385134,385134,55.0,3
385135,385135,55.0,3
385136,385136,54.0,3
385137,385137,54.0,3
385138,385138,54.0,3
385139,385139,54.0,2
385140,385140,54.0,2
385141,385141,55.0,4
385142,385142,56.0,4
385143,385143,56.0,4
385144,385144,56.0,4
385145,385145,56.0,4
385146,385146,58.0,4
385147,385147,58.0,4
385148,385148,58.0,4
385149,385149,58.0,4
385150,385150,60.0,4
385151,385151,60.0,4
385152,385152,60.0,4
385153,385153,60.0,4
385154,385154,59.0,4
385155,385155,57.0,4
385156,385156,57.0,4
385157,385157,61.0,4
385158,385158,60.0,4
385159,385159,60.0,4
385160,385160,58.0,4
385161,385161,58.0,4
385162,385162,58.0,4
385163,385163,58.0,4
385164,385164,59.0,4
385165,385165,60.0,4
385166,385166,60.0,4
385167,385167,60.0,4
385168,385168,49.0,4
385169,385169,47.0,4
385170,385170,46.0,4
385171,385171,45.0,4
385172,385172,45.0,4
385173,385173,45.0,4
385174,385174,45.0,4
385175,385175,45.0,4
385176,385176,46.0,4
385177,385177,45.0,4
385178,385178,45.0,4
385179,385179,46.0,4
385180,385180,46.0,4
385181,385181,46.0,4
385182,385182,46.0,4
385183,385183,46.0,3
385184,385184,46.0,3
385185,385185,46.0,3
385186,385186,46.0,3
385187,385187,47.0,3
385188,385188,47.0,3
385189,385189,47.0,3
385190,385190,47.0,3
385191,385191,47.0,3
385192,385192,47.0,3
385193,385193,47.0,3
385194,385194,47.0,3
385195,385195,47.0,3
385196,385196,47.0,3
385197,385197,47.0,3
385198,385198,47.0,3
385199,385199,46.0,3
385200,385200,47.0,3
385201,385201,47.0,3
385202,385202,46.0,3
385203,385203,46.0,3
385204,385204,46.0,3
385205,385205,46.0,3
385206,385206,44.0,3
385207,385207,45.0,3
385208,385208,47.0,3
385209,385209,47.0,3
385210,385210,47.0,3
385211,385211,48.0,3
385212,385212,46.0,3
385213,385213,46.0,3
385214,385214,46.0,3
385215,385215,46.0,3
385216,385216,48.0,3
385217,385217,46.0,3
